indices,count
"['1_2', '2_4', '3_3', '4_4', '5_3']",5
"['1_3', '2_2', '3_1', '4_2', '5_2']",5
"['1_5', '3_5', '4_6', '5_8']",4
"['2_5', '3_2', '4_5', '5_5']",4
"['2_3', '3_6', '4_1', '5_1']",4
"['1_7', '2_7', '5_7']",3
"['1_4', '3_4']",2
"['4_3', '5_4']",2
['5_6'],1
['1_1'],1
['1_6'],1
['2_6'],1
['2_1'],1
